dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,33.991326,0.000000,33.999026,69.575479,16.770949,-239.584984,0.000000
0.010000,34.687799,0.000000,34.695499,69.719230,14.375099,-239.584984,0.000000
0.010000,35.385591,0.000000,35.393291,69.839023,11.979249,-239.584984,0.000000
0.010000,36.084460,0.000000,36.092160,69.934857,9.583399,-239.584984,0.000000
0.010000,36.784168,0.000000,36.791868,70.006732,7.187550,-239.584984,0.000000
0.010000,37.484475,0.000000,37.492175,70.054649,4.791700,-239.584984,0.000000
0.010000,38.185141,0.000000,38.192841,70.078608,2.395850,-239.584984,0.000000
0.010000,38.885914,0.000000,38.893614,70.075915,-0.269294,-266.514392,0.000000
0.010000,39.586540,0.000000,39.594240,70.049263,-2.665144,-239.584984,0.000000
0.010000,40.286779,0.000000,40.294479,69.998653,-5.060994,-239.584984,0.000000
0.010000,40.986393,0.000000,40.994093,69.924085,-7.456844,-239.584984,0.000000
0.010000,41.685141,0.000000,41.692841,69.825558,-9.852693,-239.584984,0.000000
0.010000,42.382784,0.000000,42.390484,69.703073,-12.248543,-239.584984,0.000000
0.010000,43.079083,0.000000,43.086783,69.556629,-14.644393,-239.584984,0.000000
0.010000,43.773797,0.000000,43.781497,69.386226,-17.040243,-239.584984,0.000000
0.010000,44.466688,0.000000,44.474388,69.191865,-19.436093,-239.584984,0.000000
0.010000,45.157515,0.000000,45.165215,68.973546,-21.831943,-239.584984,0.000000
0.010000,45.846039,0.000000,45.853739,68.731268,-24.227792,-239.584984,0.000000
0.010000,46.532020,0.000000,46.539720,68.465032,-26.623642,-239.584984,0.000000
0.010000,47.215220,0.000000,47.222920,68.174837,-29.019492,-239.584984,0.000000
0.010000,47.895397,0.000000,47.903097,67.860683,-31.415342,-239.584984,0.000000
0.010000,48.572313,0.000000,48.580013,67.522571,-33.811192,-239.584984,0.000000
0.010000,49.245729,0.000000,49.253429,67.160501,-36.207042,-239.584984,0.000000
0.010000,49.915404,0.000000,49.923104,66.774472,-38.602891,-239.584984,0.000000
0.010000,50.581098,0.000000,50.588798,66.364485,-40.998741,-239.584984,0.000000
0.010000,51.242574,0.000000,51.250274,65.930539,-43.394591,-239.584984,0.000000
0.010000,51.899589,0.000000,51.907289,65.472634,-45.790441,-239.584984,0.000000
0.010000,52.551906,0.000000,52.559606,64.990771,-48.186291,-239.584984,0.000000
0.010000,53.199285,0.000000,53.206985,64.484950,-50.582141,-239.584984,0.000000
0.010000,53.841486,0.000000,53.849186,63.955170,-52.977991,-239.584984,0.000000
0.010000,54.478269,0.000000,54.485969,63.401432,-55.373840,-239.584984,0.000000
0.010000,55.109395,0.000000,55.117095,62.823735,-57.769690,-239.584984,0.000000
0.010000,55.734624,0.000000,55.742324,62.222079,-60.165540,-239.584984,0.000000
0.010000,56.353716,0.000000,56.361416,61.596465,-62.561390,-239.584984,0.000000
0.010000,56.966433,0.000000,56.974133,60.946893,-64.957240,-239.584984,0.000000
0.010000,57.572534,0.000000,57.580234,60.273362,-67.353090,-239.584984,0.000000
0.010000,58.171781,0.000000,58.179481,59.575873,-69.748939,-239.584984,0.000000
0.010000,58.763932,0.000000,58.771632,58.854425,-72.144789,-239.584984,0.000000
0.010000,59.348749,0.000000,59.356449,58.109018,-74.540639,-239.584984,0.000000
0.010000,59.925993,0.000000,59.933693,57.339654,-76.936489,-239.584984,0.000000
0.010000,60.495423,0.000000,60.503123,56.546330,-79.332339,-239.584984,0.000000
0.010000,61.056799,0.000000,61.064499,55.729048,-81.728189,-239.584984,0.000000
0.010000,61.609884,0.000000,61.617584,54.887808,-84.124038,-239.584984,0.000000
0.010000,62.154436,0.000000,62.162136,54.022609,-86.519888,-239.584984,0.000000
0.010000,62.690216,0.000000,62.697916,53.133452,-88.915738,-239.584984,0.000000
0.010000,63.216985,0.000000,63.224685,52.220336,-91.311588,-239.584984,0.000000
0.010000,63.734503,0.000000,63.742203,51.283261,-93.707438,-239.584984,0.000000
0.010000,64.242530,0.000000,64.250230,50.322229,-96.103288,-239.584984,0.000000
0.010000,64.740828,0.000000,64.748528,49.337237,-98.499137,-239.584984,0.000000
0.010000,65.229155,0.000000,65.236855,48.328287,-100.894987,-239.584984,0.000000
0.010000,65.707274,0.000000,65.714974,47.295379,-103.290837,-239.584984,0.000000
0.010000,66.174943,0.000000,66.182643,46.238512,-105.686687,-239.584984,0.000000
0.010000,66.631938,0.000000,66.639638,45.160380,-107.813243,-212.655575,0.000000
0.010000,67.078151,0.000000,67.085851,44.082247,-107.813243,0.000000,0.000000
0.010000,67.513583,0.000000,67.521283,43.004115,-107.813243,0.000000,0.000000
0.010000,67.938233,0.000000,67.945933,41.925982,-107.813243,0.000000,0.000000
0.010000,68.352102,0.000000,68.359802,40.847850,-107.813243,-0.000000,0.000000
0.010000,68.755190,0.000000,68.762890,39.769717,-107.813243,0.000000,0.000000
0.010000,69.147497,0.000000,69.155197,38.691585,-107.813243,0.000000,0.000000
0.010000,69.529022,0.000000,69.536722,37.613453,-107.813243,0.000000,0.000000
0.010000,69.899766,0.000000,69.907466,36.535320,-107.813243,-0.000000,0.000000
0.010000,70.259728,0.000000,70.267428,35.457188,-107.813243,0.000000,0.000000
0.010000,70.608909,0.000000,70.616609,34.379055,-107.813243,0.000000,0.000000
0.010000,70.947309,0.000000,70.955009,33.300923,-107.813243,-0.000000,0.000000
0.010000,71.274928,0.000000,71.282628,32.222790,-107.813243,0.000000,0.000000
0.010000,71.591765,0.000000,71.599465,31.144658,-107.813243,-0.000000,0.000000
0.010000,71.897821,0.000000,71.905521,30.066526,-107.813243,0.000000,0.000000
0.010000,72.193096,0.000000,72.200796,28.988393,-107.813243,0.000000,0.000000
0.010000,72.477589,0.000000,72.485289,27.910261,-107.813243,0.000000,0.000000
0.010000,72.751301,0.000000,72.759001,26.832128,-107.813243,-0.000000,0.000000
0.010000,73.014231,0.000000,73.021931,25.753996,-107.813243,0.000000,0.000000
0.010000,73.266381,0.000000,73.274081,24.675863,-107.813243,-0.000000,0.000000
0.010000,73.507762,0.000000,73.515462,23.600424,-107.543949,26.929409,0.000000
0.010000,73.738509,0.000000,73.746209,22.548943,-105.148099,239.584984,0.000000
0.010000,73.958861,0.000000,73.966561,21.521421,-102.752249,239.584984,0.000000
0.010000,74.169057,0.000000,74.176757,20.517857,-100.356399,239.584984,0.000000
0.010000,74.369338,0.000000,74.377038,19.538251,-97.960549,239.584984,0.000000
0.010000,74.559942,0.000000,74.567642,18.582604,-95.564699,239.584984,0.000000
0.010000,74.741110,0.000000,74.748810,17.650916,-93.168850,239.584984,0.000000
0.010000,74.913080,0.000000,74.920780,16.743186,-90.773000,239.584984,0.000000
0.010000,75.076093,0.000000,75.083793,15.859414,-88.377150,239.584984,0.000000
0.010000,75.230388,0.000000,75.238088,14.999601,-85.981300,239.584984,0.000000
0.010000,75.376205,0.000000,75.383905,14.163747,-83.585450,239.584984,0.000000
0.010000,75.513783,0.000000,75.521483,13.351851,-81.189600,239.584984,0.000000
0.010000,75.643362,0.000000,75.651062,12.563913,-78.793751,239.584984,0.000000
0.010000,75.765181,0.000000,75.772881,11.799934,-76.397901,239.584984,0.000000
